Date,SPY,base100
2005-09-23,83.6365737915039,100.0
2005-09-26,83.73296356201172,100.1152483490633
2005-09-27,83.71231842041016,100.09056400265159
2005-09-28,83.7949447631836,100.18935612077375
2005-09-29,84.47679901123047,101.00461458622291
2005-09-30,84.73851776123047,101.31753839232292
2005-10-03,84.43545532226562,100.95518203884491
2005-10-04,83.48504638671875,99.8188263843006
2005-10-05,82.39000701904297,98.50954347368595
2005-10-06,82.0938491821289,98.15544260191619
2005-10-07,82.37622833251953,98.49306899858635
2005-10-10,81.68063354492188,97.66138166843376
2005-10-11,81.56351470947266,97.52134863008719
2005-10-12,80.9230728149414,96.75560481072917
2005-10-13,80.87483215332031,96.69792590372211
2005-10-14,81.7288589477539,97.71904233128235
2005-10-17,82.0318603515625,98.0813257081265
2005-10-18,81.1434097290039,97.01905045905497
2005-10-19,82.4933090209961,98.63305642653677
2005-10-20,81.0401382446289,96.89557399452111
2005-10-21,81.35690307617188,97.27431360230636
2005-10-24,82.61727142333984,98.78127196995771
2005-10-25,82.45198059082031,98.5836421233172
2005-10-26,82.2109375,98.29543915194586
2005-10-27,81.33627319335938,97.24964750005316
2005-10-28,82.50704956054688,98.6494852912402
2005-10-31,82.73434448242188,98.9212502758289
2005-11-01,82.9822769165039,99.21769048475007
2005-11-02,83.85005950927734,100.25525402117222
2005-11-03,84.20819854736328,100.68346266465244
2005-11-04,84.09797668457031,100.5516759859349
2005-11-07,84.18063354492188,100.650504592374
2005-11-08,84.18063354492188,100.650504592374
2005-11-09,84.29082489013672,100.7822547827746
2005-11-10,84.945068359375,101.56450044346992
2005-11-11,85.23435974121094,101.91039144392758
2005-11-14,85.1861572265625,101.85275814731669
2005-11-15,84.876220703125,101.48218280044733
2005-11-16,85.04843139648438,101.68808637295459
2005-11-17,85.84042358398438,102.6350311742497
2005-11-18,86.17786407470703,103.0384916167636
2005-11-21,86.61177062988281,103.55729162913315
2005-11-22,86.9836654663086,104.00194738147526
2005-11-23,87.48639678955078,104.60303767062966
2005-11-25,87.55528259277344,104.68540092404841
2005-11-28,86.93547058105469,103.94432320694362
2005-11-29,86.83905029296875,103.82903836956339
2005-11-30,86.37071990966797,103.26907953568256
2005-12-01,87.25225830078125,104.32309018096657
2005-12-02,87.36248016357422,104.4548768596841
2005-12-05,87.1764907836914,104.23249881207725
2005-12-06,87.341796875,104.43014690287625
2005-12-07,86.83216857910156,103.8208102540928
2005-12-08,86.77705383300781,103.75491235369441
2005-12-09,87.00434875488281,104.02667733828311
2005-12-12,87.08699798583984,104.12549682264299
2005-12-13,87.67927551269531,104.83365295578628
2005-12-14,88.02363586425781,105.24538712416691
2005-12-15,87.7688217163086,104.94071879977518
2005-12-16,87.48631286621094,104.60293732775803
2005-12-19,87.03627014160156,104.06484411780508
2005-12-20,87.1193618774414,104.16419268276063
2005-12-21,87.25782775878906,104.32974929880857
2005-12-22,87.71483612060547,104.87617096710369
2005-12-23,87.76325988769531,104.93406880401241
2005-12-27,86.87010955810547,103.8661743541317
2005-12-28,87.06394958496094,104.09793902127207
2005-12-29,86.67627716064453,103.63441880907061
2005-12-30,86.2054443359375,103.07146793320048
2006-01-03,87.72172546386719,104.88440820465348
2006-01-04,88.13716125488281,105.3811236631935
2006-01-05,88.19251251220703,105.44730434804819
2006-01-06,88.9264144897461,106.32479363804299
2006-01-09,89.15491485595703,106.59799991115094
2006-01-10,89.24491882324219,106.705613079894
2006-01-11,89.52877044677734,107.04500003785662
2006-01-12,89.17567443847656,106.62282108875117
2006-01-13,89.09259033203125,106.52348164587487
2006-01-17,88.85026550292969,106.23374616519192
2006-01-18,88.49716186523438,105.81155809400722
2006-01-19,88.83641052246094,106.21718046929996
2006-01-20,87.21627807617188,104.28007045529117
2006-01-23,87.5278549194336,104.65260704919619
2006-01-24,87.61785125732422,104.76021109586
2006-01-25,87.69400787353516,104.85126769079032
2006-01-26,88.17864227294922,105.43072040799774
2006-01-27,88.99563598632812,106.4075582629481
2006-01-30,88.9264144897461,106.32479363804296
2006-01-31,88.27560424804688,105.5466529130037
2006-02-01,88.89180755615234,106.28341588663002
2006-02-02,87.86019897460938,105.04997394278061
2006-02-03,87.42399597167969,104.52842818456114
2006-02-06,87.65247344970703,104.80160709143138
2006-02-07,86.8770523071289,103.87447544623612
2006-02-08,87.66630554199219,104.81814542108563
2006-02-09,87.52093505859375,104.6443333233294
2006-02-10,87.68016815185547,104.83472023905682
2006-02-13,87.52093505859375,104.6443333233294
2006-02-14,88.4487075805664,105.75362376878152
2006-02-15,88.7602767944336,106.12615124060731
2006-02-16,89.42489624023438,106.92080292906314
2006-02-17,89.1826171875,106.6311221808556
2006-02-21,88.9610366821289,106.3661896336144
2006-02-22,89.50106811523438,107.01187776815193
2006-02-23,89.36952209472656,106.85459487797073
2006-02-24,89.59801483154297,107.12779202899945
2006-02-27,89.63261413574219,107.16916065833315
2006-02-28,88.78102111816406,106.15095417404909
2006-03-01,89.57030487060547,107.09466063721555
2006-03-02,89.56338500976562,107.08638691134882
2006-03-03,89.14798736572266,106.58971706320497
2006-03-06,88.73947143554688,106.10127533053169
2006-03-07,88.60100555419922,105.93571871448376
2006-03-08,88.78795623779297,106.1592461440743
2006-03-09,88.19251251220703,105.44730434804819
2006-03-10,89.0302505493164,106.44894513644032
2006-03-13,89.19644927978516,106.6476605105099
2006-03-14,90.1311264038086,107.76520643767027
2006-03-15,90.53267669677734,108.2453197120014
2006-03-16,90.71961212158203,108.46882889743348
2006-03-17,90.79535675048828,108.5593929000851
